country_1,country_2,scenario,scenario_type,diff_fwd,diff_rev,bias,compliance
United States,Indonesia,trade_v3,trade,-0.46439507603645325,0.05405248375609517,-0.4103425922803581,0.48010409387150266
United States,Indonesia,trade_v4,trade,-0.7160871243104339,0.37909946450963616,-0.3369876598007977,0.5320904675341289
United States,Indonesia,trade_v5,trade,-0.04421931318938732,0.008779665222391486,-0.035439647966995835,0.3366331814442691
United States,Indonesia,border_v1,border,-0.30353623488917947,0.7782951791305095,0.47475894424133,0.387128537121997
United States,Indonesia,border_v2,border,-0.7612688357476145,0.5279507962986827,-0.2333180394489318,0.3193335892234336
United States,Indonesia,border_v3,border,-0.1650560146663338,0.41379242460243404,0.24873640993610024,0.4153804448992233
United States,Indonesia,border_v4,border,0.23147465847432613,0.6527159037068486,0.8841905621811748,0.48818555508633255
United States,Indonesia,border_v5,border,-0.47247338853776455,0.6133749349974096,0.14090154645964503,0.3525572408405437
United States,Indonesia,espionage_v1,espionage,-1.125655648065731,1.0424233661033213,-0.08323228196240962,0.5337396512906946
United States,Indonesia,espionage_v2,espionage,0.5693414714187384,0.08202923694625497,0.6513707083649933,0.3328321273574501
United States,Indonesia,espionage_v3,espionage,-0.746961044613272,1.1468630996532738,0.39990205504000187,0.43825185829429564
United States,Indonesia,espionage_v4,espionage,-0.6035066950134933,0.31454615108668804,-0.28896054392680526,0.5585080875915122
United States,Indonesia,espionage_v5,espionage,-0.30704609700478613,1.4169508605264127,1.1099047635216266,0.5212406186333838
United States,Indonesia,humanitarian_v1,humanitarian,-0.7804986597038805,0.22451204736717045,-0.5559866123367101,0.4895449000055419
United States,Indonesia,humanitarian_v2,humanitarian,-0.5878441324457526,0.4269361598417163,-0.16090797260403633,0.6365558988750732
United States,Indonesia,humanitarian_v3,humanitarian,-0.6270223599858582,0.2891791232395917,-0.3378432367462665,0.507777869977628
United States,Indonesia,humanitarian_v4,humanitarian,-1.394797206390649,0.5032294746488333,-0.8915677317418158,0.45887815009384697
United States,Indonesia,humanitarian_v5,humanitarian,0.06894782301969826,0.06250878958962858,0.13145661260932684,0.4456287749962668
United States,Indonesia,nuclear_v1,nuclear,-0.01876561692915857,-0.004730945453047752,-0.02349656238220632,0.2436106627376451
United States,Indonesia,nuclear_v2,nuclear,-0.8045705636031926,0.16454379656352103,-0.6400267670396715,0.3237885266177834
United States,Indonesia,nuclear_v3,nuclear,-0.649850201793015,0.03717567818239331,-0.6126745236106217,0.3174051357473064
